,NAME,ROUNDS,SCORING,DRIVE_DISTANCE,FWY_%,GIR_%,SG_P,SG_TTG,SG_T,SCRAMBLING_P,PAR OR BETTER,MISSED GIR,US_OPEN_TOP_10,POINTS,TOP 10,1ST,Year
53,Sean O'Hair,89,70.677,302.2,58.84,67.17,.208,.163,.371,57.79,304,526,1,416,2,,2016
54,Tim Wilkinson,72,70.704,279.3,62.36,64.71,.335,.226,.561,63.66,275,432,1,426,1,,2016
55,John Senden,88,70.717,289.7,60.07,68.86,.321,.130,.451,59.13,285,482,1,719,1,,2016
56,Adam Hadwin,93,70.719,290.1,63.62,66.07,.530,-.011,.519,58.27,331,568,1,748,2,,2016
57,Keegan Bradley,82,70.741,300.0,64.57,69.58,-.631,.929,.298,54.57,245,449,2,605,2,,2016
58,Luke List,79,70.754,306.9,50.98,67.17,-.273,.709,.436,60.88,277,455,2,481,2,,2016
59,Daniel Summerhays,99,70.771,288.0,58.65,63.02,.592,-.356,.236,57.21,377,659,1,975,2,,2016
60,Johnson Wagner,86,70.781,289.4,61.13,69.38,.273,.096,.368,57.81,274,474,1,808,3,,2016
61,Ricky Barnes,97,70.784,287.6,54.27,65.77,.385,-.091,.295,59.86,343,573,2,844,4,,2016
62,Colt Knost,90,70.785,269.7,73.36,65.25,.395,-.077,.318,61.90,333,538,2,803,3,,2016
63,Tony Finau,95,70.797,312.2,52.48,65.09,-.088,.216,.128,57.96,346,597,2,1314,2,1,2016
64,Freddie Jacobson,86,70.809,280.3,59.03,64.86,.487,-.414,.072,60.29,328,544,3,714,3,,2016
65,Patrick Rodgers,89,70.833,300.5,57.74,69.22,-.193,.504,.311,58.17,274,471,2,827,3,,2016
66,Robert Garrigus,69,70.848,303.3,53.91,69.32,-.200,.836,.637,53.48,192,359,1,558,3,,2016
67,Scott Piercy,87,70.855,297.9,59.41,67.33,-.292,.479,.187,57.29,283,494,2,1497,3,,2016
68,Brendan Steele,88,70.855,302.2,60.29,68.72,-.287,.542,.255,54.76,259,473,1,1001,2,,2016
69,Sung Kang,89,70.856,292.4,59.36,65.26,.186,-.182,.004,59.74,325,544,2,679,2,,2016
70,Martin Laird,82,70.867,298.5,55.14,67.66,.158,.148,.306,58.37,265,454,1,811,3,,2016
71,David Hearn,95,70.870,281.2,65.94,68.25,.214,.311,.525,61.14,332,543,1,1084,2,,2016
72,David Toms,62,70.872,269.7,67.98,65.50,.132,.248,.380,61.04,235,385,1,455,1,,2016
73,Hudson Swafford,104,70.875,306.9,61.43,68.80,.205,.093,.298,54.97,321,584,1,981,1,,2016
74,Aaron Baddeley,93,70.888,291.7,55.42,63.11,.586,-.330,.257,64.30,380,591,4,922,5,1,2016
75,Jamie Lovemark,91,70.896,304.8,57.32,65.32,.131,.373,.504,61.44,349,568,5,1232,5,,2016
76,Graeme McDowell,63,70.899,281.4,67.70,64.44,-.199,.021,-.178,58.85,226,384,4,1250,5,1,2016
77,Bryce Molder,80,70.901,280.2,62.53,61.32,.553,-.013,.540,65.38,355,543,5,718,5,,2016
78,Jhonattan Vegas,97,70.903,304.4,56.57,69.71,.072,.498,.571,58.97,299,507,3,362,5,1,2016
