,NAME,ROUNDS,DRIVE_DISTANCE,PAR OR BETTER,MISSED GIR,US_OPEN_TOP_10,TOP 10,1ST,SCORING1,SCORING2,SCORING3,SCORING4,SCORING5,FWY_%1,FWY_%2,FWY_%3,FWY_%4,FWY_%5,GIR_%1,GIR_%2,GIR_%3,GIR_%4,GIR_%5,SG_P1,SG_P2,SG_P3,SG_P4,SG_P5,SG_TTG1,SG_TTG2,SG_TTG3,SG_TTG4,SG_TTG5,SG_T1,SG_T2,SG_T3,SG_T4,SG_T5,SCRAMBLING_P1,SCRAMBLING_P2,SCRAMBLING_P3,SCRAMBLING_P4,SCRAMBLING_P5
145,Luke Guthrie,57,289.3,221,365,1,1,0.0,71.416,,,,,55.53,,,,,63.13,,,,,0.404,,,,,-0.847,,,,,-0.444,,,,,60.55,,,,
146,Luke List,345,1246.3,1114,1933,14,14,0.0,70.754,70.428,70.229,71.223,,50.98,55.63,54.66,53.06,,67.17,69.1,68.36,65.43,,-0.273,-0.426,-0.467,-0.28,,0.709,1.117,1.337,0.482,,0.436,0.691,0.87,0.202,,60.88,56.33,58.41,54.59,
147,Mackenzie Hughes,186,591.5,677,1135,4,4,1.0,71.044,70.907,,,,59.63,57.98,,,,64.74,65.28,,,,0.492,-0.014,,,,-0.32,-0.03,,,,0.172,-0.044,,,,58.64,61.05,,,
148,Marc Leishman,352,1188.3,1243,2036,16,22,3.0,70.554,69.468,70.26,70.434,,60.55,57.94,60.17,59.39,,65.31,67.04,66.67,67.21,,0.252,0.356,0.126,0.302,,0.258,1.066,0.498,0.531,,0.51,1.422,0.624,0.833,,60.34,61.42,59.07,64.0,
149,Mark Anderson,54,283.8,197,322,1,1,0.0,71.5,,,,,59.97,,,,,65.6,,,,,-0.016,,,,,-0.309,,,,,-0.325,,,,,61.18,,,,
150,Martin Flores,88,300.6,244,428,1,2,0.0,70.885,,,,,52.79,,,,,70.64,,,,,0.242,,,,,-0.257,,,,,-0.015,,,,,57.01,,,,
151,Martin Laird,326,1193.3,1077,1797,10,15,0.0,70.867,70.45,70.839,70.866,,55.14,65.66,63.22,63.09,,67.66,65.86,65.9,69.86,,0.158,0.253,0.282,0.019,,0.148,0.576,0.189,0.204,,0.306,0.829,0.47,0.223,,58.37,60.98,59.15,61.06,
152,Martin Piller,138,578.8,531,915,4,4,0.0,71.813,71.929,,,,58.97,58.51,,,,64.33,60.39,,,,0.518,0.119,,,,-0.997,-1.246,,,,-0.479,-1.127,,,,58.47,57.74,,,
153,Martin Trainer,63,303.8,246,434,1,1,1.0,72.343,,,,,50.76,,,,,60.47,,,,,-0.041,,,,,-1.39,,,,,-1.431,,,,,56.68,,,,
154,Matt Every,79,294.2,251,478,1,1,0.0,72.044,,,,,55.5,,,,,64.59,,,,,-0.364,,,,,-0.775,,,,,-1.139,,,,,52.51,,,,
155,Matt Fitzpatrick,54,287.9,189,331,1,2,0.0,70.525,,,,,66.06,,,,,63.94,,,,,-0.054,,,,,0.941,,,,,0.887,,,,,57.1,,,,
